GAME_ID	DATE	HOME_TEAM	AWAY_TEAM	HOME_SCORE	AWAY_SCORE	GAME_TYPE
88	8/18/13	Washington Spirit	Sky Blue FC	1	1	Regular Season
89	8/24/13	FC Kansas City	Portland Thorns FC	2	3	Semifinal
90	8/24/13	Western New York Flash	Sky Blue FC	2	0	Semifinal
91	8/31/13	Western New York Flash	Portland Thorns FC	0	2	Final
92	4/12/14	Houston Dash	Portland Thorns FC	0	1	Regular Season
93	4/12/14	FC Kansas City	Sky Blue FC	1	1	Regular Season
94	4/13/14	Washington Spirit	Western New York Flash	1	3	Regular Season
95	4/13/14	Seattle Reign FC	Boston Breakers	3	0	Regular Season
96	4/19/14	Washington Spirit	FC Kansas City	3	1	Regular Season
97	4/19/14	Chicago Red Stars	Western New York Flash	1	0	Regular Season
98	4/19/14	Sky Blue FC	Portland Thorns FC	1	1	Regular Season
99	4/20/14	Boston Breakers	Houston Dash	2	3	Regular Season
100	4/23/14	Seattle Reign FC	Washington Spirit	3	1	Regular Season
101	4/26/14	Chicago Red Stars	Washington Spirit	0	1	Regular Season
102	4/26/14	Portland Thorns FC	FC Kansas City	3	1	Regular Season
103	4/27/14	Boston Breakers	Sky Blue FC	3	2	Regular Season
104	4/27/14	Seattle Reign FC	Houston Dash	2	0	Regular Season
105	4/30/14	Sky Blue FC	Seattle Reign FC	0	2	Regular Season
106	4/30/14	FC Kansas City	Chicago Red Stars	1	0	Regular Season
107	5/3/14	Washington Spirit	Seattle Reign FC	1	2	Regular Season
108	5/3/14	Western New York Flash	Portland Thorns FC	1	1	Regular Season
109	5/3/14	Sky Blue FC	Boston Breakers	1	0	Regular Season
110	5/3/14	Houston Dash	FC Kansas City	0	4	Regular Season
111	5/7/14	Western New York Flash	FC Kansas City	2	1	Regular Season
112	5/7/14	Sky Blue FC	Chicago Red Stars	1	1	Regular Season
113	5/10/14	Portland Thorns FC	Seattle Reign FC	0	1	Regular Season
114	5/11/14	Western New York Flash	Sky Blue FC	2	0	Regular Season
115	5/11/14	Chicago Red Stars	Houston Dash	1	0	Regular Season
116	5/11/14	FC Kansas City	Washington Spirit	2	1	Regular Season
117	5/14/14	Houston Dash	Portland Thorns FC	0	1	Regular Season
118	5/14/14	Seattle Reign FC	FC Kansas City	3	2	Regular Season
119	5/15/14	Boston Breakers	Chicago Red Stars	1	3	Regular Season
120	5/17/14	Washington Spirit	Western New York Flash	3	2	Regular Season
121	5/18/14	FC Kansas City	Houston Dash	2	2	Regular Season
122	5/18/14	Boston Breakers	Chicago Red Stars	1	4	Regular Season
123	5/21/14	Washington Spirit	Sky Blue FC	3	3	Regular Season
124	5/21/14	FC Kansas City	Seattle Reign FC	1	1	Regular Season
125	5/21/14	Portland Thorns FC	Western New York Flash	2	1	Regular Season
126	5/23/14	Houston Dash	Chicago Red Stars	1	3	Regular Season
127	5/24/14	Portland Thorns FC	Sky Blue FC	0	1	Regular Season
